nom,prenom,filière,Campus,Annee,email
Helsa,Hedve,GProgramming,Remote,1A,Helsa.Hedve@ican-school.com
Lorie,Hanleigh,GProgramming,Remote,1A,Lorie.Hanleigh@ican-school.com
Grier,Kenney,Concept Art,Bordeaux,M2,Grier.Kenney@ican-school.com
Pollyanna,Pond,GArt,Lyon,2A,Pollyanna.Pond@ican-school.com
Clary,Raul,GArt,Lille,2A,Clary.Raul@ican-school.com
Marguerite,Klotz,Concept Art,Remote,2A,Marguerite.Klotz@ican-school.com
Pearline,Turne,GProgramming,Lyon,1A,Pearline.Turne@ican-school.com
Ulrike,Wind,GArt,Bordeaux,2A,Ulrike.Wind@ican-school.com
Emylee,Junie,Narrative Design,Bordeaux,2A,Emylee.Junie@ican-school.com
Goldie,Kaete,Concept Art,Paris,2A,Goldie.Kaete@ican-school.com
Olivette,Maryanne,GProgramming,Lille,M1,Olivette.Maryanne@ican-school.com
Margarette,Himelman,Concept Art,Lille,M2,Margarette.Himelman@ican-school.com
Bertine,Niles,GDesign,Bordeaux,M2,Bertine.Niles@ican-school.com
Joy,Llovera,Narrative Design,Lyon,3A,Joy.Llovera@ican-school.com
Viki,Ellord,Communication,Paris,2A,Viki.Ellord@ican-school.com
Mady,Han,Communication,Lyon,1A,Mady.Han@ican-school.com
Rochette,Fabiola,Communication,Bordeaux,3A,Rochette.Fabiola@ican-school.com
Corina,Adrienne,GProgramming,Lille,3A,Corina.Adrienne@ican-school.com
Kathi,Donoghue,Narrative Design,Paris,1A,Kathi.Donoghue@ican-school.com
Heida,Boycey,Communication,Remote,3A,Heida.Boycey@ican-school.com
Elfreda,Claudine,GProgramming,Lille,3A,Elfreda.Claudine@ican-school.com
Nelle,Ricki,Animation,Bordeaux,3A,Nelle.Ricki@ican-school.com
Maisey,Tremayne,Animation,Remote,M2,Maisey.Tremayne@ican-school.com
Meriel,Arne,GArt,Bordeaux,3A,Meriel.Arne@ican-school.com
Nariko,Telfer,GArt,Lille,3A,Nariko.Telfer@ican-school.com
Nikki,Celestine,GProgramming,Lyon,2A,Nikki.Celestine@ican-school.com
Dianemarie,Reinke,Animation,Bordeaux,2A,Dianemarie.Reinke@ican-school.com
Dianemarie,Azeria,Concept Art,Remote,M2,Dianemarie.Azeria@ican-school.com
Aurelie,Blisse,Narrative Design,Paris,1A,Aurelie.Blisse@ican-school.com
Jenda,Granoff,GProgramming,Remote,3A,Jenda.Granoff@ican-school.com
Sean,Nerita,Communication,Lille,3A,Sean.Nerita@ican-school.com
Mariele,Peti,GProgramming,Lille,M2,Mariele.Peti@ican-school.com
Cyb,Mata,GArt,Remote,3A,Cyb.Mata@ican-school.com
Alameda,Berard,Communication,Lille,M2,Alameda.Berard@ican-school.com
Lenna,Syd,GArt,Remote,3A,Lenna.Syd@ican-school.com
Dyann,Cressida,Communication,Bordeaux,1A,Dyann.Cressida@ican-school.com
Lindie,Wallis,GProgramming,Lyon,1A,Lindie.Wallis@ican-school.com
Audrie,Glovsky,GProgramming,Paris,M2,Audrie.Glovsky@ican-school.com
Minda,Sothena,Concept Art,Paris,3A,Minda.Sothena@ican-school.com
Ronna,Santoro,Communication,Lyon,1A,Ronna.Santoro@ican-school.com
Taffy,Afton,Narrative Design,Lyon,M1,Taffy.Afton@ican-school.com
Dianemarie,Kat,GProgramming,Lille,2A,Dianemarie.Kat@ican-school.com
Dede,Turne,Communication,Paris,M2,Dede.Turne@ican-school.com
Blake,Vorster,GArt,Remote,M1,Blake.Vorster@ican-school.com
Gaylene,Chobot,Animation,Bordeaux,3A,Gaylene.Chobot@ican-school.com
Mariann,Rogerio,Narrative Design,Remote,1A,Mariann.Rogerio@ican-school.com
Ericka,Mendez,Communication,Bordeaux,M1,Ericka.Mendez@ican-school.com
Lusa,Stacy,Animation,Bordeaux,1A,Lusa.Stacy@ican-school.com
Farrah,Gillan,Concept Art,Bordeaux,M2,Farrah.Gillan@ican-school.com
Marguerite,Evangelia,Narrative Design,Bordeaux,1A,Marguerite.Evangelia@ican-school.com
Gui,Kress,GArt,Lille,3A,Gui.Kress@ican-school.com
Dania,Gilbertson,Communication,Remote,M2,Dania.Gilbertson@ican-school.com
Evaleen,Giule,Communication,Lyon,M2,Evaleen.Giule@ican-school.com
Janis,Bryna,Concept Art,Lyon,3A,Janis.Bryna@ican-school.com
Aaren,Weaks,GProgramming,Remote,1A,Aaren.Weaks@ican-school.com
Giustina,Belldas,GProgramming,Bordeaux,M2,Giustina.Belldas@ican-school.com
Janeczka,Artie,GArt,Lyon,2A,Janeczka.Artie@ican-school.com
Annecorinne,Georgy,Concept Art,Bordeaux,M1,Annecorinne.Georgy@ican-school.com
Alleen,MacIntosh,GDesign,Paris,M1,Alleen.MacIntosh@ican-school.com
Madeleine,Khorma,GArt,Paris,M1,Madeleine.Khorma@ican-school.com
Bettine,Vins,Concept Art,Lille,M1,Bettine.Vins@ican-school.com
Rosabelle,Mullane,Narrative Design,Lille,M2,Rosabelle.Mullane@ican-school.com
Dawn,Joeann,Animation,Remote,1A,Dawn.Joeann@ican-school.com
Gale,Lindemann,Communication,Lyon,M1,Gale.Lindemann@ican-school.com
Ada,Reidar,Animation,Bordeaux,2A,Ada.Reidar@ican-school.com
Elvira,Vharat,Concept Art,Paris,M1,Elvira.Vharat@ican-school.com
Augustine,Sinegold,GArt,Bordeaux,M1,Augustine.Sinegold@ican-school.com
Dione,Pozzy,Communication,Remote,2A,Dione.Pozzy@ican-school.com
Gretal,Carleen,GProgramming,Paris,M2,Gretal.Carleen@ican-school.com
Beatriz,Shama,Communication,Paris,M2,Beatriz.Shama@ican-school.com
Charlena,Gert,Animation,Lyon,1A,Charlena.Gert@ican-school.com
Henriette,Cutlerr,Narrative Design,Lyon,M1,Henriette.Cutlerr@ican-school.com
Lonnie,Couture,GDesign,Lyon,2A,Lonnie.Couture@ican-school.com
Kamilah,Brady,Communication,Remote,M2,Kamilah.Brady@ican-school.com
Harrietta,Kelula,Narrative Design,Lille,M2,Harrietta.Kelula@ican-school.com
Bobbi,Gilmour,Animation,Lyon,M2,Bobbi.Gilmour@ican-school.com
Olwen,Adamsen,Narrative Design,Bordeaux,M1,Olwen.Adamsen@ican-school.com
Barbi,Halla,GProgramming,Paris,1A,Barbi.Halla@ican-school.com
Ricky,Johanna,GDesign,Bordeaux,2A,Ricky.Johanna@ican-school.com
Marylou,Christine,Concept Art,Remote,M2,Marylou.Christine@ican-school.com
Silvana,Japeth,GDesign,Remote,M1,Silvana.Japeth@ican-school.com
Giustina,Lanita,Communication,Paris,3A,Giustina.Lanita@ican-school.com
Ernesta,Euridice,Communication,Lille,M2,Ernesta.Euridice@ican-school.com
Rozele,Lubin,Narrative Design,Bordeaux,3A,Rozele.Lubin@ican-school.com
Caritta,Drisko,GDesign,Paris,M2,Caritta.Drisko@ican-school.com
Betta,Obed,Communication,Bordeaux,M1,Betta.Obed@ican-school.com
Ardys,Kosey,GDesign,Remote,1A,Ardys.Kosey@ican-school.com
Brynna,Cassius,Animation,Remote,M2,Brynna.Cassius@ican-school.com
Ariela,Lissi,GProgramming,Bordeaux,2A,Ariela.Lissi@ican-school.com
Frances,Amand,GProgramming,Lyon,2A,Frances.Amand@ican-school.com
Teddie,Matthew,Communication,Remote,2A,Teddie.Matthew@ican-school.com
Pamella,Decato,Narrative Design,Lille,M2,Pamella.Decato@ican-school.com
Jordan,Jary,Animation,Lille,3A,Jordan.Jary@ican-school.com
Ofilia,Brieta,GDesign,Paris,M1,Ofilia.Brieta@ican-school.com
Mallory,Bahr,GDesign,Lille,2A,Mallory.Bahr@ican-school.com
Esmeralda,Letsou,Animation,Bordeaux,1A,Esmeralda.Letsou@ican-school.com
Adriana,Brenn,GProgramming,Lille,2A,Adriana.Brenn@ican-school.com
Tobe,Kazimir,Communication,Remote,3A,Tobe.Kazimir@ican-school.com
Cindelyn,Krystle,Narrative Design,Lyon,3A,Cindelyn.Krystle@ican-school.com
Marylou,Rosette,Animation,Paris,2A,Marylou.Rosette@ican-school.com
Zsa Zsa,Tryck,GProgramming,Lyon,3A,Zsa Zsa.Tryck@ican-school.com
Sissy,Heisel,Concept Art,Bordeaux,M1,Sissy.Heisel@ican-school.com
Belva,Ramona,GArt,Paris,2A,Belva.Ramona@ican-school.com
Kylynn,Obed,GArt,Paris,3A,Kylynn.Obed@ican-school.com
Selia,Fitzsimmons,Animation,Paris,M1,Selia.Fitzsimmons@ican-school.com
Marcy,Durware,Animation,Remote,3A,Marcy.Durware@ican-school.com
Brianna,Kauppi,GDesign,Remote,M1,Brianna.Kauppi@ican-school.com
Jean,Shirberg,Communication,Remote,M1,Jean.Shirberg@ican-school.com
Aaren,Hedve,Narrative Design,Lille,M2,Aaren.Hedve@ican-school.com
Janeczka,Sawtelle,GProgramming,Bordeaux,M2,Janeczka.Sawtelle@ican-school.com
Kaja,Leopold,Concept Art,Lille,M2,Kaja.Leopold@ican-school.com
Amelia,Vastah,GArt,Remote,M1,Amelia.Vastah@ican-school.com
Mathilda,Ledah,Animation,Bordeaux,2A,Mathilda.Ledah@ican-school.com
Lizzie,Pauly,Narrative Design,Lyon,M1,Lizzie.Pauly@ican-school.com
Wileen,Stav,GProgramming,Remote,2A,Wileen.Stav@ican-school.com
Paule,Dash,GArt,Bordeaux,M1,Paule.Dash@ican-school.com
Brietta,Tannie,Communication,Bordeaux,1A,Brietta.Tannie@ican-school.com
Katleen,Winnick,GDesign,Lyon,3A,Katleen.Winnick@ican-school.com
Micheline,Zuzana,GProgramming,Lyon,M1,Micheline.Zuzana@ican-school.com
Tersina,Cyrie,GProgramming,Bordeaux,1A,Tersina.Cyrie@ican-school.com
Elyssa,Israeli,Concept Art,Remote,2A,Elyssa.Israeli@ican-school.com
Raf,Paton,Concept Art,Lyon,1A,Raf.Paton@ican-school.com
Thalia,Shelba,GProgramming,Remote,1A,Thalia.Shelba@ican-school.com
Alyda,Koziara,Concept Art,Remote,M1,Alyda.Koziara@ican-school.com
Benita,Leler,GArt,Remote,M2,Benita.Leler@ican-school.com
Imojean,August,Narrative Design,Lyon,M2,Imojean.August@ican-school.com
Cristine,Bebe,Narrative Design,Remote,M2,Cristine.Bebe@ican-school.com
Leona,Jaylene,Narrative Design,Bordeaux,M2,Leona.Jaylene@ican-school.com
Violet,Sancho,Concept Art,Remote,M2,Violet.Sancho@ican-school.com
Christy,Gibbeon,GProgramming,Lille,M2,Christy.Gibbeon@ican-school.com
Dorothy,Milde,Concept Art,Lille,M2,Dorothy.Milde@ican-school.com
Laurene,Barrus,GArt,Remote,2A,Laurene.Barrus@ican-school.com
Meg,Francyne,Communication,Bordeaux,M1,Meg.Francyne@ican-school.com
Kristan,Kannry,GDesign,Lille,3A,Kristan.Kannry@ican-school.com
Laurene,Brotherson,Animation,Remote,1A,Laurene.Brotherson@ican-school.com
Livvyy,Khorma,GArt,Remote,3A,Livvyy.Khorma@ican-school.com
Betta,Deegan,Narrative Design,Remote,M1,Betta.Deegan@ican-school.com
Joelly,Hoban,GDesign,Remote,M1,Joelly.Hoban@ican-school.com
Oona,Dowski,GDesign,Paris,1A,Oona.Dowski@ican-school.com
Tarra,Lamoree,Animation,Remote,M1,Tarra.Lamoree@ican-school.com
Doro,Pillsbury,Animation,Lille,M2,Doro.Pillsbury@ican-school.com
Gabriellia,Ricki,Narrative Design,Lyon,M2,Gabriellia.Ricki@ican-school.com
Sarette,Agle,Concept Art,Bordeaux,M2,Sarette.Agle@ican-school.com
Stevana,Vacuva,Concept Art,Bordeaux,1A,Stevana.Vacuva@ican-school.com
Esmeralda,Stuart,Narrative Design,Paris,M1,Esmeralda.Stuart@ican-school.com
Hayley,Wesle,GDesign,Lyon,3A,Hayley.Wesle@ican-school.com
Michaelina,Emerson,GProgramming,Lyon,M2,Michaelina.Emerson@ican-school.com
Abbie,Delacourt,GArt,Remote,M2,Abbie.Delacourt@ican-school.com
Rubie,Rosemary,Animation,Remote,M1,Rubie.Rosemary@ican-school.com
Stacey,Nickola,GDesign,Lille,1A,Stacey.Nickola@ican-school.com
Janenna,Nance,GArt,Paris,3A,Janenna.Nance@ican-school.com
Olivette,Sinegold,GDesign,Lyon,1A,Olivette.Sinegold@ican-school.com
Norine,Longfellow,Concept Art,Paris,1A,Norine.Longfellow@ican-school.com
Suzette,Plato,Communication,Lyon,3A,Suzette.Plato@ican-school.com
Mignon,Hutchison,Concept Art,Lyon,2A,Mignon.Hutchison@ican-school.com
Anestassia,Jethro,GArt,Lille,M1,Anestassia.Jethro@ican-school.com
Darci,Wu,GProgramming,Remote,3A,Darci.Wu@ican-school.com
Tori,Kauppi,GProgramming,Lyon,1A,Tori.Kauppi@ican-school.com
Halette,Florina,GProgramming,Remote,3A,Halette.Florina@ican-school.com
Cristine,Isacco,GProgramming,Lille,2A,Cristine.Isacco@ican-school.com
Oralee,Magdalen,GArt,Bordeaux,1A,Oralee.Magdalen@ican-school.com
Aili,Teryn,Narrative Design,Paris,1A,Aili.Teryn@ican-school.com
Gratia,Modie,GProgramming,Paris,1A,Gratia.Modie@ican-school.com
Tabbatha,Kimmie,GArt,Bordeaux,2A,Tabbatha.Kimmie@ican-school.com
Ardenia,Delila,GArt,Lyon,M1,Ardenia.Delila@ican-school.com
Larine,Laurianne,Communication,Bordeaux,3A,Larine.Laurianne@ican-school.com
Dorene,Parette,Narrative Design,Bordeaux,M2,Dorene.Parette@ican-school.com
Cristine,Alarise,Communication,Lyon,M1,Cristine.Alarise@ican-school.com
Aurelie,Remmer,Concept Art,Lyon,3A,Aurelie.Remmer@ican-school.com
Lynde,Rurik,Narrative Design,Lyon,M2,Lynde.Rurik@ican-school.com
Ardeen,Tacye,Communication,Bordeaux,M1,Ardeen.Tacye@ican-school.com
Lexine,Camden,Concept Art,Lyon,1A,Lexine.Camden@ican-school.com
Fernande,Gwenore,Animation,Paris,1A,Fernande.Gwenore@ican-school.com
Mathilda,Keelia,GProgramming,Lille,3A,Mathilda.Keelia@ican-school.com
Evita,Nickola,Narrative Design,Lille,M1,Evita.Nickola@ican-school.com
Blondelle,Concha,Communication,Lille,M2,Blondelle.Concha@ican-school.com
Annora,Pulsifer,Narrative Design,Remote,M1,Annora.Pulsifer@ican-school.com
Loree,Abernon,Concept Art,Bordeaux,3A,Loree.Abernon@ican-school.com
Jasmina,Travax,Narrative Design,Remote,M2,Jasmina.Travax@ican-school.com
Nadine,Fabiola,GProgramming,Bordeaux,M1,Nadine.Fabiola@ican-school.com
Ann-Marie,Colyer,GDesign,Paris,1A,Ann-Marie.Colyer@ican-school.com
Pearline,Sherrie,GProgramming,Remote,3A,Pearline.Sherrie@ican-school.com
Lorne,Salvidor,GProgramming,Lille,1A,Lorne.Salvidor@ican-school.com
Karena,Carbo,GArt,Remote,M1,Karena.Carbo@ican-school.com
Antonietta,Nea,Communication,Lyon,M1,Antonietta.Nea@ican-school.com
Leanna,Seligman,Concept Art,Paris,1A,Leanna.Seligman@ican-school.com
Lindie,Ricki,GDesign,Paris,M2,Lindie.Ricki@ican-school.com
Ardenia,Bryna,Concept Art,Paris,M1,Ardenia.Bryna@ican-school.com
Roberta,Margret,Animation,Bordeaux,M1,Roberta.Margret@ican-school.com
Lily,Gilmour,Animation,Paris,M1,Lily.Gilmour@ican-school.com
Nananne,Allare,Concept Art,Lyon,3A,Nananne.Allare@ican-school.com
Lanna,Cutlerr,GProgramming,Paris,1A,Lanna.Cutlerr@ican-school.com
Ericka,Rogerio,Animation,Lyon,3A,Ericka.Rogerio@ican-school.com
Phedra,Lasley,Concept Art,Remote,M2,Phedra.Lasley@ican-school.com
Carmencita,Teryn,GDesign,Paris,M1,Carmencita.Teryn@ican-school.com
Lusa,Korey,GArt,Lyon,2A,Lusa.Korey@ican-school.com
Shirlee,Diogenes,GProgramming,Paris,M1,Shirlee.Diogenes@ican-school.com
Delilah,Nikaniki,Narrative Design,Remote,M1,Delilah.Nikaniki@ican-school.com
Ariela,Kare,GDesign,Remote,2A,Ariela.Kare@ican-school.com
Jenda,Hermes,Narrative Design,Paris,2A,Jenda.Hermes@ican-school.com
Nataline,Jaylene,GArt,Remote,M1,Nataline.Jaylene@ican-school.com
Ariela,Mullane,GDesign,Remote,2A,Ariela.Mullane@ican-school.com
Brooks,Chobot,Narrative Design,Lille,M2,Brooks.Chobot@ican-school.com
Ruthe,Raul,GArt,Lille,3A,Ruthe.Raul@ican-school.com
Gianina,Holtz,GDesign,Lille,M1,Gianina.Holtz@ican-school.com
Gaylene,Eno,Communication,Paris,2A,Gaylene.Eno@ican-school.com
Stephanie,Jeanne,Animation,Lyon,3A,Stephanie.Jeanne@ican-school.com
Demetris,Ingra,Animation,Remote,3A,Demetris.Ingra@ican-school.com
Dennie,Colp,Communication,Bordeaux,M2,Dennie.Colp@ican-school.com
Elsie,Oster,GDesign,Remote,3A,Elsie.Oster@ican-school.com
Janenna,Rustice,GProgramming,Lille,M1,Janenna.Rustice@ican-school.com
Lisette,Marijo,Animation,Lille,M1,Lisette.Marijo@ican-school.com
Jacenta,Abbot,GProgramming,Lille,2A,Jacenta.Abbot@ican-school.com
Elka,Bultman,GDesign,Bordeaux,3A,Elka.Bultman@ican-school.com
Raquela,Narton,Communication,Lille,1A,Raquela.Narton@ican-school.com
Carlie,Magdalen,Narrative Design,Bordeaux,3A,Carlie.Magdalen@ican-school.com
Gilligan,Oneida,GDesign,Remote,M1,Gilligan.Oneida@ican-school.com
Barbi,Marden,Concept Art,Remote,2A,Barbi.Marden@ican-school.com
Delilah,Seligman,Narrative Design,Lyon,M1,Delilah.Seligman@ican-school.com
Sadie,Jammal,Narrative Design,Bordeaux,M2,Sadie.Jammal@ican-school.com
Zaria,Lauraine,GProgramming,Remote,3A,Zaria.Lauraine@ican-school.com
Grier,Valoniah,Animation,Remote,2A,Grier.Valoniah@ican-school.com
Margarette,Grayce,Narrative Design,Lille,3A,Margarette.Grayce@ican-school.com
Elena,Hamil,Communication,Lyon,3A,Elena.Hamil@ican-school.com
Orelia,Sibyls,Communication,Remote,M2,Orelia.Sibyls@ican-school.com
Tobe,Amethist,GArt,Lyon,M1,Tobe.Amethist@ican-school.com
Tiffie,Ferino,Animation,Lille,1A,Tiffie.Ferino@ican-school.com
Rosene,Raseda,Animation,Lille,M1,Rosene.Raseda@ican-school.com
Jorry,Goth,GDesign,Lille,2A,Jorry.Goth@ican-school.com
Mathilda,Kazimir,Animation,Bordeaux,3A,Mathilda.Kazimir@ican-school.com
Eadie,Willie,Narrative Design,Paris,1A,Eadie.Willie@ican-school.com
Selia,Old,GProgramming,Lille,M2,Selia.Old@ican-school.com
Edyth,Truc,GArt,Paris,1A,Edyth.Truc@ican-school.com
Jillayne,Lewes,GProgramming,Lyon,3A,Jillayne.Lewes@ican-school.com
Kirstin,Deny,Animation,Bordeaux,3A,Kirstin.Deny@ican-school.com
Courtnay,Saree,Animation,Remote,2A,Courtnay.Saree@ican-school.com
Sandie,Gombach,Narrative Design,Remote,M1,Sandie.Gombach@ican-school.com
Lory,Carbo,Narrative Design,Bordeaux,M1,Lory.Carbo@ican-school.com
Emmey,Sherfield,GProgramming,Remote,2A,Emmey.Sherfield@ican-school.com
Dianemarie,McClimans,Narrative Design,Lille,3A,Dianemarie.McClimans@ican-school.com
Philis,Berne,Communication,Remote,M1,Philis.Berne@ican-school.com
Esmeralda,Connelly,GDesign,Paris,3A,Esmeralda.Connelly@ican-school.com
Wilma,Henrie,Animation,Paris,1A,Wilma.Henrie@ican-school.com
Aeriela,Fulmer,Communication,Lyon,M1,Aeriela.Fulmer@ican-school.com
Tina,Gemini,Narrative Design,Bordeaux,1A,Tina.Gemini@ican-school.com
Carree,Plato,GProgramming,Paris,1A,Carree.Plato@ican-school.com
Georgetta,Dudley,Narrative Design,Remote,2A,Georgetta.Dudley@ican-school.com
Millie,Daniele,Communication,Lille,M2,Millie.Daniele@ican-school.com
Perry,Marlie,Communication,Lyon,M1,Perry.Marlie@ican-school.com
Caryl,Selway,Animation,Lille,3A,Caryl.Selway@ican-school.com
Trudie,Wareing,Narrative Design,Remote,M1,Trudie.Wareing@ican-school.com
Meriel,Mott,GProgramming,Bordeaux,3A,Meriel.Mott@ican-school.com
Ernesta,Claudine,Narrative Design,Lille,M2,Ernesta.Claudine@ican-school.com
Dennie,Olympium,Communication,Remote,M2,Dennie.Olympium@ican-school.com
Suzette,Ethban,Narrative Design,Lille,M1,Suzette.Ethban@ican-school.com
Kary,Cloris,Animation,Paris,1A,Kary.Cloris@ican-school.com
Ada,Bultman,GDesign,Paris,M2,Ada.Bultman@ican-school.com
Aimil,Kazimir,Concept Art,Paris,M1,Aimil.Kazimir@ican-school.com
Amalie,Seumas,Concept Art,Remote,1A,Amalie.Seumas@ican-school.com
Marline,Darbie,Narrative Design,Lille,1A,Marline.Darbie@ican-school.com
Lynde,Burch,GDesign,Lyon,M1,Lynde.Burch@ican-school.com
Marleah,Ephrem,Communication,Lyon,M1,Marleah.Ephrem@ican-school.com
Coral,Howlyn,Communication,Bordeaux,M2,Coral.Howlyn@ican-school.com
Fidelia,Blase,GProgramming,Paris,2A,Fidelia.Blase@ican-school.com
Blake,Zaslow,GProgramming,Paris,3A,Blake.Zaslow@ican-school.com
Ira,Anis,Animation,Paris,M2,Ira.Anis@ican-school.com
Dotty,Mata,GDesign,Lyon,2A,Dotty.Mata@ican-school.com
Agathe,Juliet,GProgramming,Lyon,M2,Agathe.Juliet@ican-school.com
Kirbee,Longfellow,GArt,Bordeaux,2A,Kirbee.Longfellow@ican-school.com
Minne,Toni,Narrative Design,Lyon,M1,Minne.Toni@ican-school.com
Aurore,Zeeba,Concept Art,Lille,1A,Aurore.Zeeba@ican-school.com
Georgina,Delp,GProgramming,Bordeaux,M1,Georgina.Delp@ican-school.com
Patricia,Milde,Communication,Lille,M2,Patricia.Milde@ican-school.com
Cristabel,Hepsibah,Narrative Design,Lille,M2,Cristabel.Hepsibah@ican-school.com
Inga,Gualtiero,GProgramming,Remote,2A,Inga.Gualtiero@ican-school.com
Claudina,Chesna,Animation,Bordeaux,M1,Claudina.Chesna@ican-school.com
Consuela,Jess,Concept Art,Bordeaux,1A,Consuela.Jess@ican-school.com
Ida,Karna,Animation,Lyon,2A,Ida.Karna@ican-school.com
Deane,Vharat,GDesign,Bordeaux,3A,Deane.Vharat@ican-school.com
Lita,Couture,GDesign,Paris,1A,Lita.Couture@ican-school.com
Sonni,Cleavland,Concept Art,Paris,M1,Sonni.Cleavland@ican-school.com
Tatiania,Jethro,GProgramming,Bordeaux,M2,Tatiania.Jethro@ican-school.com
Lanae,Florina,GDesign,Bordeaux,1A,Lanae.Florina@ican-school.com
Shell,Philipp,GArt,Lille,1A,Shell.Philipp@ican-school.com
Selma,Ardeha,GDesign,Bordeaux,1A,Selma.Ardeha@ican-school.com
Gwyneth,Earlie,GArt,Lille,3A,Gwyneth.Earlie@ican-school.com
Hyacinthe,Friede,Concept Art,Remote,2A,Hyacinthe.Friede@ican-school.com
Shauna,Olnee,GProgramming,Bordeaux,M1,Shauna.Olnee@ican-school.com
Tatiania,Justinn,GArt,Lille,M2,Tatiania.Justinn@ican-school.com
Gianina,Grobe,Narrative Design,Lyon,3A,Gianina.Grobe@ican-school.com
Nicoli,Cookie,Narrative Design,Lyon,1A,Nicoli.Cookie@ican-school.com
Silvana,Read,GDesign,Lille,2A,Silvana.Read@ican-school.com
Dominga,Kazimir,Narrative Design,Bordeaux,1A,Dominga.Kazimir@ican-school.com
Jinny,Palocz,Narrative Design,Paris,1A,Jinny.Palocz@ican-school.com
Karly,Narton,GArt,Lyon,M2,Karly.Narton@ican-school.com
Gisela,Erskine,Communication,Lille,3A,Gisela.Erskine@ican-school.com
Liana,Radu,GDesign,Lyon,M1,Liana.Radu@ican-school.com
Shaine,Toffic,Concept Art,Bordeaux,1A,Shaine.Toffic@ican-school.com
Cristine,Jobi,GDesign,Bordeaux,2A,Cristine.Jobi@ican-school.com
Oralee,Kirbee,Narrative Design,Remote,M2,Oralee.Kirbee@ican-school.com
Juliane,Jobi,Communication,Lille,M1,Juliane.Jobi@ican-school.com
Annice,Graig,GProgramming,Lille,3A,Annice.Graig@ican-school.com
Alejandra,Schonfeld,Narrative Design,Lille,3A,Alejandra.Schonfeld@ican-school.com
Bernie,Erminia,GDesign,Bordeaux,M2,Bernie.Erminia@ican-school.com
Arabel,Andrel,Concept Art,Paris,M1,Arabel.Andrel@ican-school.com
Robinia,Bibi,Animation,Paris,3A,Robinia.Bibi@ican-school.com
Rori,Elbertina,GDesign,Lille,2A,Rori.Elbertina@ican-school.com
Lanae,Torray,GArt,Lille,M1,Lanae.Torray@ican-school.com
Deloria,Simmonds,GDesign,Bordeaux,2A,Deloria.Simmonds@ican-school.com
Tierney,Redmond,Concept Art,Lyon,3A,Tierney.Redmond@ican-school.com
Aryn,Gamaliel,Communication,Remote,1A,Aryn.Gamaliel@ican-school.com
Rhea,Minetta,GProgramming,Lille,3A,Rhea.Minetta@ican-school.com
Jsandye,Palocz,Communication,Lille,M2,Jsandye.Palocz@ican-school.com
Paule,Stilwell,Narrative Design,Paris,2A,Paule.Stilwell@ican-school.com
Marcy,Pulsifer,Narrative Design,Remote,1A,Marcy.Pulsifer@ican-school.com
Corry,Timon,Concept Art,Bordeaux,M1,Corry.Timon@ican-school.com
Charissa,Gherardo,GProgramming,Paris,3A,Charissa.Gherardo@ican-school.com
Britte,Gaal,Concept Art,Lyon,1A,Britte.Gaal@ican-school.com
Clary,Rad,Narrative Design,Paris,3A,Clary.Rad@ican-school.com
Angelique,Susannah,Animation,Paris,M2,Angelique.Susannah@ican-school.com
Bobinette,Natalia,GArt,Remote,2A,Bobinette.Natalia@ican-school.com
Michaelina,Middleton,GArt,Remote,M1,Michaelina.Middleton@ican-school.com
Wendi,Quinn,Communication,Bordeaux,M1,Wendi.Quinn@ican-school.com
Benita,Carbo,Narrative Design,Lille,M2,Benita.Carbo@ican-school.com
Alie,Jotham,Communication,Lyon,M2,Alie.Jotham@ican-school.com
Maud,Rugen,Communication,Bordeaux,3A,Maud.Rugen@ican-school.com
Jany,Merat,GArt,Lille,1A,Jany.Merat@ican-school.com
Sindee,Darian,Narrative Design,Paris,M2,Sindee.Darian@ican-school.com
Alejandra,Brenn,GDesign,Lille,M1,Alejandra.Brenn@ican-school.com
Belinda,Rogerio,Animation,Lille,3A,Belinda.Rogerio@ican-school.com
Chandra,Lynn,GArt,Lille,3A,Chandra.Lynn@ican-school.com
Ericka,Lalitta,Concept Art,Lyon,M1,Ericka.Lalitta@ican-school.com
Latisha,Ailyn,GProgramming,Paris,1A,Latisha.Ailyn@ican-school.com
Ileana,Gavrila,Communication,Lyon,1A,Ileana.Gavrila@ican-school.com
Evita,Ashely,Animation,Bordeaux,2A,Evita.Ashely@ican-school.com
Tori,Gilbertson,Communication,Lille,2A,Tori.Gilbertson@ican-school.com
Yvonne,Peti,Animation,Paris,M1,Yvonne.Peti@ican-school.com
Odessa,Bebe,GProgramming,Lyon,2A,Odessa.Bebe@ican-school.com
Sue,Argus,GArt,Bordeaux,M1,Sue.Argus@ican-school.com
Charlena,Tound,Communication,Remote,M1,Charlena.Tound@ican-school.com
Alia,Nikaniki,Narrative Design,Lyon,M2,Alia.Nikaniki@ican-school.com
Minda,Bates,Communication,Paris,M2,Minda.Bates@ican-school.com
Nyssa,Moina,Narrative Design,Lille,2A,Nyssa.Moina@ican-school.com
Ida,Couture,GProgramming,Lyon,M2,Ida.Couture@ican-school.com
Kerrin,Martsen,Narrative Design,Lyon,2A,Kerrin.Martsen@ican-school.com
Gaylene,Sheng,GArt,Lille,2A,Gaylene.Sheng@ican-school.com
Loree,Ovid,Concept Art,Remote,M2,Loree.Ovid@ican-school.com
Lilith,Cosenza,Animation,Paris,1A,Lilith.Cosenza@ican-school.com
